[S-10B] [Google] [0] [0.4245810055865922] S:[30], I:[2], D:[44]
[S-10B] [Kaldi] [0] [0.24581005586592178] S:[21], I:[2], D:[21]
[S-10B] [Google] [1] [0.3832752613240418] S:[62], I:[5], D:[43]
[S-10B] [Kaldi] [1] [0.23344947735191637] S:[48], I:[2], D:[17]
[S-10B] [Google] [2] [0.29003021148036257] S:[48], I:[4], D:[44]
[S-10B] [Kaldi] [2] [0.19939577039274925] S:[39], I:[5], D:[22]
[S-10B] [Google] [3] [0.29194630872483224] S:[48], I:[2], D:[37]
[S-10B] [Kaldi] [3] [0.2080536912751678] S:[42], I:[3], D:[17]
[S-10B] [Google] [4] [0.31543624161073824] S:[83], I:[3], D:[55]
[S-10B] [Kaldi] [4] [0.21252796420581654] S:[65], I:[5], D:[25]
[S-10B] [Google] [5] [0.25669642857142855] S:[58], I:[10], D:[47]
[S-10B] [Kaldi] [5] [0.16964285714285715] S:[45], I:[13], D:[18]
[S-10B] [Google] [6] [0.2926829268292683] S:[26], I:[0], D:[22]
[S-10B] [Kaldi] [6] [0.18902439024390244] S:[14], I:[2], D:[15]
[S-10B] [Google] [7] [0.3054393305439331] S:[54], I:[2], D:[17]
[S-10B] [Kaldi] [7] [0.23430962343096234] S:[38], I:[0], D:[18]
[S-10B] [Google] [8] [0.28125] S:[49], I:[0], D:[23]
[S-10B] [Kaldi] [8] [0.17578125] S:[25], I:[5], D:[15]
[S-21A] [Google] [0] [0.6603053435114504] S:[73], I:[0], D:[100]
[S-21A] [Kaldi] [0] [0.4618320610687023] S:[66], I:[1], D:[54]
[S-21A] [Google] [1] [0.5890909090909091] S:[62], I:[0], D:[100]
[S-21A] [Kaldi] [1] [0.3927272727272727] S:[62], I:[2], D:[44]
[S-21A] [Google] [2] [0.6212121212121212] S:[45], I:[1], D:[77]
[S-21A] [Kaldi] [2] [0.3787878787878788] S:[45], I:[7], D:[23]
[S-21A] [Google] [3] [0.6196868008948546] S:[125], I:[2], D:[150]
[S-21A] [Kaldi] [3] [0.37360178970917224] S:[86], I:[4], D:[77]
[S-21A] [Google] [4] [0.621832358674464] S:[136], I:[4], D:[179]
[S-21A] [Kaldi] [4] [0.43664717348927873] S:[115], I:[15], D:[94]
[S-21A] [Google] [5] [0.6376811594202898] S:[74], I:[5], D:[97]
[S-21A] [Kaldi] [5] [0.4166666666666667] S:[57], I:[2], D:[56]
[S-21A] [Google] [6] [0.6095238095238096] S:[22], I:[0], D:[42]
[S-21A] [Kaldi] [6] [0.41904761904761906] S:[18], I:[0], D:[26]
[S-21A] [Google] [7] [0.5789473684210527] S:[8], I:[0], D:[14]
[S-21A] [Kaldi] [7] [0.3157894736842105] S:[8], I:[0], D:[4]
[S-21A] [Google] [8] [0.43902439024390244] S:[7], I:[0], D:[11]
[S-21A] [Kaldi] [8] [0.24390243902439024] S:[5], I:[2], D:[3]
[S-21A] [Google] [9] [0.7045454545454546] S:[13], I:[0], D:[18]
[S-21A] [Kaldi] [9] [0.4772727272727273] S:[10], I:[0], D:[11]
[S-21A] [Google] [10] [0.4918032786885246] S:[40], I:[0], D:[50]
[S-21A] [Kaldi] [10] [0.29508196721311475] S:[27], I:[2], D:[25]
[S-21A] [Google] [11] [0.6333333333333333] S:[44], I:[0], D:[70]
[S-21A] [Kaldi] [11] [0.4722222222222222] S:[39], I:[0], D:[46]
[S-7C] [Google] [0] [0.3218562874251497] S:[114], I:[10], D:[91]
[S-7C] [Kaldi] [0] [0.22305389221556887] S:[94], I:[12], D:[43]
[S-7C] [Google] [1] [0.38074398249452956] S:[106], I:[8], D:[60]
[S-7C] [Kaldi] [1] [0.24726477024070023] S:[81], I:[14], D:[18]
[S-7C] [Google] [2] [0.2955390334572491] S:[77], I:[5], D:[77]
[S-7C] [Kaldi] [2] [0.22304832713754646] S:[80], I:[16], D:[24]
[S-7C] [Google] [3] [0.4096185737976783] S:[111], I:[6], D:[130]
[S-7C] [Kaldi] [3] [0.2752902155887231] S:[96], I:[4], D:[66]
[S-7C] [Google] [4] [0.3464203233256351] S:[73], I:[2], D:[75]
[S-7C] [Kaldi] [4] [0.2540415704387991] S:[60], I:[11], D:[39]
[S-7C] [Google] [5] [0.36538461538461536] S:[103], I:[5], D:[120]
[S-7C] [Kaldi] [5] [0.2467948717948718] S:[90], I:[17], D:[47]
[S-19C] [Google] [0] [0.5529953917050692] S:[60], I:[1], D:[59]
[S-19C] [Kaldi] [0] [0.39631336405529954] S:[49], I:[12], D:[25]
[S-19C] [Google] [1] [0.65625] S:[10], I:[0], D:[53]
[S-19C] [Kaldi] [1] [0.5104166666666666] S:[29], I:[1], D:[19]
[S-19C] [Google] [2] [0.47161572052401746] S:[51], I:[3], D:[54]
[S-19C] [Kaldi] [2] [0.2925764192139738] S:[33], I:[9], D:[25]
[S-19C] [Google] [3] [0.6129032258064516] S:[34], I:[2], D:[40]
[S-19C] [Kaldi] [3] [0.4596774193548387] S:[34], I:[3], D:[20]
[S-19C] [Google] [4] [0.5243445692883895] S:[71], I:[2], D:[67]
[S-19C] [Kaldi] [4] [0.3258426966292135] S:[51], I:[2], D:[34]
[S-19C] [Google] [5] [0.5740740740740741] S:[42], I:[2], D:[49]
[S-19C] [Kaldi] [5] [0.4567901234567901] S:[42], I:[7], D:[25]
[S-19C] [Google] [6] [0.45454545454545453] S:[22], I:[0], D:[23]
[S-19C] [Kaldi] [6] [0.3939393939393939] S:[23], I:[5], D:[11]
[S-19C] [Google] [7] [0.3939393939393939] S:[15], I:[1], D:[10]
[S-19C] [Kaldi] [7] [0.36363636363636365] S:[18], I:[3], D:[3]
